Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerung__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09;Bayern;12604244
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);091;  Oberbayern;4469342
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09161;    Ingolstadt (Krfr.St);129136
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09162;    München, Landeshauptstadt;1407836
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09163;    Rosenheim (Krfr.St);60464
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171;    Altötting (Lkr);106965
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171111;      Altötting, St;12559
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171112;      Burghausen, St;17715
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171113;      Burgkirchen a.d.Alz;10141
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171114;      Emmerting;4085
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171115;      Erlbach;1180
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171116;      Feichten a.d.Alz;1184
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171117;      Garching a.d.Alz;8489
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171118;      Haiming;2451
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171119;      Halsbach;956
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171121;      Kastl;2656
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171122;      Kirchweidach;2293
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171123;      Marktl, M;2637
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171124;      Mehring;2275
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171125;      Neuötting, St;8459
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;GEMEIN;Gemeinden Bayerns (einschl. gemeindefreie Gebiete);09171126;      Perach;1228
