Name,Geometrie (EWKT),Verwaltungseinheit,Verwaltungsebene,Planungsregion,Anteil Wasserkraft an Stromproduktion EE (%),Anteil Wind an Stromproduktion EE (%),Anteil PV an Stromproduktion EE (%),Anteil Biomasse an Stromproduktion EE (%),Anteil Geothermie an Stromproduktion EE (%),Stromproduktion Wasserkraft 2021 (MWh/a),Stromproduktion Wind 2021 (MWh/a),Stromproduktion PV 2021 (MWh/a),Stromproduktion Biomasse 2021 (MWh/a),Stromproduktion Geothermie 2021 (MWh/a),Stromproduktion EE 2021 (MWh/a),Einwohnerzahl,Fläche (km²)
Oberbayern,SRID=31468;POINT (4481899.892788588 5329110.735891902),100000,Regierungsbezirk,unbekannt,49.5,3.1,24.9,20.9,1.6,5489022.0,344742.0,2758106.0,2317538.0,178348.0,1.1087755E7,4729243.0,17534
Ingolstadt,SRID=31468;POINT (4457728.797577065 5403236.783199396),161000,Gemeinde,10.0,51.5,0.0,22.0,26.5,0.0,102692.0,0.0,43864.0,52942.0,0.0,199497.0,138016.0,133
Ingolstadt,SRID=31468;POINT (4455613.551440659 5402131.1571629625),161000,Landkreis,unbekannt,51.5,0.0,22.0,26.5,0.0,102692.0,0.0,43864.0,52942.0,0.0,199497.0,138016.0,133
München,SRID=31468;POINT (4468515.3765645055 5333310.341167441),162000,Gemeinde,14.0,50.8,4.4,34.2,10.6,0.0,74564.0,6536.0,50247.0,15561.0,0.0,146907.0,1487708.0,311
München (Stadt),SRID=31468;POINT (4466431.185606031 5335113.936999712),162000,Landkreis,unbekannt,50.8,4.4,34.2,10.6,0.0,74564.0,6536.0,50247.0,15561.0,0.0,146907.0,1487708.0,311
Rosenheim,SRID=31468;POINT (4509448.34360067 5301963.408921471),163000,Gemeinde,18.0,14.1,0.0,12.3,73.6,0.0,13540.0,0.0,11769.0,70569.0,0.0,95877.0,63508.0,37.2
Rosenheim (Stadt),SRID=31468;POINT (4508231.425102538 5300616.003959331),163000,Landkreis,unbekannt,14.1,0.0,12.3,73.6,0.0,13540.0,0.0,11769.0,70569.0,0.0,95877.0,63508.0,37.2
Altötting,SRID=31468;POINT (4552524.8057990335 5341552.246215285),171000,Landkreis,unbekannt,74.0,0.0,13.5,10.7,1.8,1171238.0,0.0,214409.0,168721.0,29209.0,1583577.0,112116.0,570
Altötting,SRID=31468;POINT (4550547.681981055 5343559.067651091),171111,Gemeinde,18.0,0.79,0.0,57.8,41.4,0.0,172.0,0.0,12495.0,8966.0,0.0,21633.0,12983.0,23.1
Burghausen,SRID=31468;POINT (4561938.892540987 5337092.392867715),171112,Gemeinde,18.0,94.0,0.0,4.4,1.6,0.0,262383.0,0.0,12200.0,4468.0,0.0,279051.0,18862.0,19.8
Burgkirchen a.d.Alz,SRID=31468;POINT (4554509.306137016 5336764.460940681),171113,Gemeinde,18.0,1.1,0.0,30.2,68.7,0.0,850.0,0.0,22877.0,51962.0,0.0,75688.0,10710.0,46.2
Emmerting,SRID=31468;POINT (4557067.167597896 5340507.488813938),171114,Gemeinde,18.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4710.0,0.0,0.0,4710.0,4079.0,14.1
Erlbach,SRID=31468;POINT (4558444.541679505 5352425.529219406),171115,Gemeinde,18.0,0.0,0.0,53.7,46.3,0.0,0.0,0.0,5767.0,4979.0,0.0,10746.0,1214.0,28.2
Feichten a.d.Alz,SRID=31468;POINT (4544497.216938413 5327250.475484116),171116,Gemeinde,18.0,15.8,0.0,33.0,51.2,0.0,2309.0,0.0,4839.0,7500.0,0.0,14648.0,1251.0,17.9
Garching a.d.Alz,SRID=31468;POINT (4543511.82737575 5332734.627511177),171117,Gemeinde,18.0,7.3,0.0,24.2,10.4,58.1,3459.0,0.0,11471.0,4909.0,27468.0,47306.0,8702.0,25.9
Haiming,SRID=31468;POINT (4566070.330389464 5342046.996582789),171118,Gemeinde,18.0,96.0,0.0,4.0,0.0,0.0,120054.0,0.0,4983.0,0.0,0.0,125037.0,2522.0,28.8
Halsbach,SRID=31468;POINT (4550409.878351123 5332145.2488913415),171119,Gemeinde,18.0,0.0,0.0,31.2,68.8,0.0,0.0,0.0,4077.0,8973.0,0.0,13049.0,1051.0,22.1
Kastl,SRID=31468;POINT (4551858.489390615 5339782.798998983),171121,Gemeinde,18.0,4.7,0.0,37.6,57.7,0.0,1451.0,0.0,11677.0,17916.0,0.0,31043.0,2830.0,27.6
Kirchweidach,SRID=31468;POINT (4548049.245975417 5327737.0921742),171122,Gemeinde,18.0,0.0,0.0,58.6,31.2,10.2,0.0,0.0,10028.0,5343.0,1740.0,17112.0,2676.0,20.2
Marktl,SRID=31468;POINT (4562756.513011837 5346494.471709839),171123,Gemeinde,18.0,0.0,0.0,46.1,53.9,0.0,0.0,0.0,5130.0,5999.0,0.0,11129.0,2802.0,27.9
Mehring,SRID=31468;POINT (4558375.885282111 5338162.797596938),171124,Gemeinde,18.0,0.0,0.0,46.8,53.2,0.0,0.0,0.0,5119.0,5811.0,0.0,10930.0,2411.0,23.4
Neuötting,SRID=31468;POINT (4551411.720081844 5344909.670168331),171125,Gemeinde,18.0,6.0,0.0,94.0,0.0,0.0,843.0,0.0,13306.0,0.0,0.0,14150.0,8817.0,36.6
Perach,SRID=31468;POINT (4557092.17664562 5347798.306222114),171126,Gemeinde,18.0,94.7,0.0,5.3,0.0,0.0,101049.0,0.0,5678.0,0.0,0.0,106727.0,1309.0,14.2
Pleiskirchen,SRID=31468;POINT (4544323.56591528 5352298.125819571),171127,Gemeinde,18.0,0.0,0.0,43.7,56.3,0.0,0.0,0.0,11928.0,15359.0,0.0,27286.0,2462.0,52.7
Reischach,SRID=31468;POINT (4553938.110694538 5350578.405393098),171129,Gemeinde,18.0,1.3,0.0,75.1,23.6,0.0,105.0,0.0,5899.0,1851.0,0.0,7855.0,2650.0,28.5
Stammham,SRID=31468;POINT (4565635.871286643 5345976.760579252),171130,Gemeinde,18.0,9.0,0.0,91.0,0.0,0.0,173.0,0.0,1744.0,0.0,0.0,1916.0,1026.0,5.7
Teising,SRID=31468;POINT (4545423.104211304 5343404.322108793),171131,Gemeinde,18.0,8.6,0.0,50.2,41.2,0.0,347.0,0.0,2023.0,1663.0,0.0,4032.0,1836.0,5.4
Töging a.Inn,SRID=31468;POINT (4543677.255160258 5346466.540010591),171132,Gemeinde,18.0,96.0,0.0,3.6,0.43,0.0,442743.0,0.0,16375.0,1990.0,0.0,461108.0,9407.0,13.7
Tüßling,SRID=31468;POINT (4544487.716175969 5341815.3810137445),171133,Gemeinde,18.0,2.1,0.0,49.9,48.1,0.0,219.0,0.0,5266.0,5079.0,0.0,10564.0,3375.0,19.6
Tyrlaching,SRID=31468;POINT (4549928.745065621 5324992.02400121),171134,Gemeinde,18.0,0.0,0.0,44.8,55.2,0.0,0.0,0.0,4085.0,5029.0,0.0,9113.0,1069.0,20.6
Unterneukirchen,SRID=31468;POINT (4546124.79190923 5336555.807893032),171135,Gemeinde,18.0,85.6,0.0,10.1,4.3,0.0,96263.0,0.0,11362.0,4867.0,0.0,112492.0,3325.0,23.3
Winhöring,SRID=31468;POINT (4548448.84083918 5347722.32955039),171137,Gemeinde,18.0,83.5,0.0,12.9,3.6,0.0,138819.0,0.0,21372.0,6058.0,0.0,166249.0,4747.0,24.6
Berchtesgadener Land,SRID=31468;POINT (4567809.53015801 5284838.308609875),172000,Landkreis,unbekannt,58.2,0.0,28.9,12.9,0.0,102015.0,0.0,50662.0,22615.0,0.0,175291.0,106389.0,841
