Name,Geometrie (EWKT),Verwaltungseinheit,Verwaltungsebene,Planungsregion,Anteil EE am Stromverbrauch (%),Stromverbrauch (MWh/a),Einwohnerzahl,Fläche (km²),Stand
Ingolstadt,SRID=31468;POINT (4457728.797577065 5403236.783199396),161000,Gemeinde,10.0,12.5,1616813.0,141029.0,133.0,31.12.2022
Ingolstadt,SRID=31468;POINT (4455613.551440659 5402131.1571629625),161000,Landkreis,unbekannt,12.5,1616813.0,141029.0,133.0,31.12.2022
München (Stadt),SRID=31468;POINT (4466431.185606031 5335113.936999712),162000,Landkreis,unbekannt,2.0,7172096.0,1512491.0,311.0,31.12.2022
München,SRID=31468;POINT (4468515.3765645055 5333310.341167441),162000,Gemeinde,14.0,2.0,7172096.0,1512491.0,311.0,31.12.2022
Rosenheim,SRID=31468;POINT (4509448.34360067 5301963.408921471),163000,Gemeinde,18.0,34.3,279807.0,64403.0,37.2,31.12.2022
Rosenheim (Stadt),SRID=31468;POINT (4508231.425102538 5300616.003959331),163000,Landkreis,unbekannt,34.3,279807.0,64403.0,37.2,31.12.2022
Altötting,SRID=31468;POINT (4552524.8057990335 5341552.246215285),171000,Landkreis,unbekannt,32.3,4436725.0,113798.0,570.0,31.12.2022
Altötting,SRID=31468;POINT (4550547.681981055 5343559.067651091),171111,Gemeinde,18.0,15.4,146324.0,13104.0,23.1,31.12.2022
Burghausen,SRID=31468;POINT (4561938.892540987 5337092.392867715),171112,Gemeinde,18.0,8.9,2804510.0,19364.0,19.8,31.12.2022
Burgkirchen a.d.Alz,SRID=31468;POINT (4554509.306137016 5336764.460940681),171113,Gemeinde,18.0,5.0,661884.0,10953.0,46.2,31.12.2022
Emmerting,SRID=31468;POINT (4557067.167597896 5340507.488813938),171114,Gemeinde,18.0,67.8,15525.0,4171.0,14.1,31.12.2022
Erlbach,SRID=31468;POINT (4558444.541679505 5352425.529219406),171115,Gemeinde,18.0,277.0,4029.0,1174.0,28.2,31.12.2022
Feichten a.d.Alz,SRID=31468;POINT (4544497.216938413 5327250.475484116),171116,Gemeinde,18.0,360.0,4165.0,1255.0,17.9,31.12.2022
Garching a.d.Alz,SRID=31468;POINT (4543511.82737575 5332734.627511177),171117,Gemeinde,18.0,82.6,58501.0,8778.0,25.9,31.12.2022
Haiming,SRID=31468;POINT (4566070.330389464 5342046.996582789),171118,Gemeinde,18.0,959.0,11571.0,2523.0,28.8,31.12.2022
Halsbach,SRID=31468;POINT (4550409.878351123 5332145.2488913415),171119,Gemeinde,18.0,422.0,3603.0,1097.0,22.1,31.12.2022
Kastl,SRID=31468;POINT (4551858.489390615 5339782.798998983),171121,Gemeinde,18.0,165.0,18909.0,2838.0,27.6,31.12.2022
Kirchweidach,SRID=31468;POINT (4548049.245975417 5327737.0921742),171122,Gemeinde,18.0,74.8,24138.0,2803.0,20.2,31.12.2022
Marktl,SRID=31468;POINT (4562756.513011837 5346494.471709839),171123,Gemeinde,18.0,59.0,19811.0,2856.0,27.9,31.12.2022
Mehring,SRID=31468;POINT (4558375.885282111 5338162.797596938),171124,Gemeinde,18.0,47.8,24386.0,2417.0,23.4,31.12.2022
Neuötting,SRID=31468;POINT (4551411.720081844 5344909.670168331),171125,Gemeinde,18.0,18.2,85927.0,8997.0,36.6,31.12.2022
Perach,SRID=31468;POINT (4557092.17664562 5347798.306222114),171126,Gemeinde,18.0,1364.0,6954.0,1326.0,14.2,31.12.2022
Pleiskirchen,SRID=31468;POINT (4544323.56591528 5352298.125819571),171127,Gemeinde,18.0,260.0,13285.0,2463.0,52.7,31.12.2022
Reischach,SRID=31468;POINT (4553938.110694538 5350578.405393098),171129,Gemeinde,18.0,63.8,13855.0,2647.0,28.5,31.12.2022
Stammham,SRID=31468;POINT (4565635.871286643 5345976.760579252),171130,Gemeinde,18.0,58.3,3754.0,1023.0,5.7,31.12.2022
Teising,SRID=31468;POINT (4545423.104211304 5343404.322108793),171131,Gemeinde,18.0,12.4,34699.0,1839.0,5.4,31.12.2022
Töging a.Inn,SRID=31468;POINT (4543677.255160258 5346466.540010591),171132,Gemeinde,18.0,193.0,212595.0,9465.0,13.7,31.12.2022
Tüßling,SRID=31468;POINT (4544487.716175969 5341815.3810137445),171133,Gemeinde,18.0,51.8,22151.0,3383.0,19.6,31.12.2022
Tyrlaching,SRID=31468;POINT (4549928.745065621 5324992.02400121),171134,Gemeinde,18.0,303.0,3294.0,1071.0,20.6,31.12.2022
Unterneukirchen,SRID=31468;POINT (4546124.79190923 5336555.807893032),171135,Gemeinde,18.0,54.4,188020.0,3414.0,23.3,31.12.2022
Winhöring,SRID=31468;POINT (4548448.84083918 5347722.32955039),171137,Gemeinde,18.0,274.0,54836.0,4837.0,24.6,31.12.2022
Berchtesgadener Land,SRID=31468;POINT (4567809.53015801 5284838.308609875),172000,Landkreis,unbekannt,39.3,472252.0,107667.0,841.0,31.12.2022
Ainring,SRID=31468;POINT (4570731.731786137 5298000.771729787),172111,Gemeinde,18.0,56.3,40747.0,9975.0,33.0,31.12.2022
Anger,SRID=31468;POINT (4564485.377103004 5296370.138328669),172112,Gemeinde,18.0,31.5,13640.0,4526.0,46.0,31.12.2022
Bad Reichenhall,SRID=31468;POINT (4565877.144153019 5287879.72023992),172114,Gemeinde,18.0,41.9,77469.0,18893.0,42.0,31.12.2022
Bayerisch Gmain,SRID=31468;POINT (4567077.492089979 5287342.073901017),172115,Gemeinde,18.0,3.6,14852.0,3158.0,12.3,31.12.2022
Berchtesgaden,SRID=31468;POINT (4575448.9985227045 5277650.2756158),172116,Gemeinde,18.0,26.5,35006.0,7623.0,35.7,31.12.2022
Bischofswiesen,SRID=31468;POINT (4573009.485847743 5279244.971489178),172117,Gemeinde,18.0,15.5,30426.0,7199.0,62.2,31.12.2022
Freilassing,SRID=31468;POINT (4573323.497294351 5300893.462947213),172118,Gemeinde,18.0,30.0,112430.0,17816.0,14.8,31.12.2022
Laufen,SRID=31468;POINT (4569794.478547287 5311396.251946073),172122,Gemeinde,18.0,50.3,29863.0,7431.0,35.3,31.12.2022
Marktschellenberg,SRID=31468;POINT (4578594.5817137025 5284804.067802665),172124,Gemeinde,18.0,78.8,5266.0,1751.0,17.7,31.12.2022
Piding,SRID=31468;POINT (4568474.277348521 5292769.682208082),172128,Gemeinde,18.0,10.6,24369.0,5506.0,17.7,31.12.2022
Ramsau b.Berchtesgaden,SRID=31468;POINT (4567708.752093231 5274829.673645454),172129,Gemeinde,18.0,33.8,7741.0,1736.0,129.0,31.12.2022
Saaldorf-Surheim,SRID=31468;POINT (4569661.777452963 5304001.24496903),172130,Gemeinde,18.0,30.0,18828.0,5577.0,39.2,31.12.2022
Schneizlreuth,SRID=31468;POINT (4560335.08375233 5283854.921743692),172131,Gemeinde,18.0,328.0,4742.0,1386.0,107.0,31.12.2022
Schönau a.Königssee,SRID=31468;POINT (4574130.05484182 5274246.9809252815),172132,Gemeinde,18.0,45.2,25144.0,5668.0,132.0,31.12.2022
Teisendorf,SRID=31468;POINT (4561511.676092748 5301617.640595407),172134,Gemeinde,18.0,64.0,31730.0,9422.0,86.9,31.12.2022
Eck,SRID=31468;POINT (4580110.319962347 5276768.6110709235),172452,Gemeinde,18.0,0.0,unbekannt,unbekannt,12.6,31.12.2022
Schellenberger Forst,SRID=31468;POINT (4575791.510918706 5284474.737341231),172454,Gemeinde,18.0,0.0,unbekannt,unbekannt,17.0,31.12.2022
Bad Tölz-Wolfratshausen,SRID=31468;POINT (4461338.47956332 5287775.830683699),173000,Landkreis,unbekannt,150.0,424023.0,129511.0,1111.0,31.12.2022
Bad Heilbrunn,SRID=31468;POINT (4459653.997086764 5289809.621358008),173111,Gemeinde,17.0,17.5,12301.0,4008.0,40.3,31.12.2022
Bad Tölz,SRID=31468;POINT (4467135.485276966 5291589.962554393),173112,Gemeinde,17.0,23.1,70759.0,19186.0,30.8,31.12.2022
Benediktbeuern,SRID=31468;POINT (4455973.085894245 5285676.050812128),173113,Gemeinde,17.0,18.9,10241.0,3720.0,37.9,31.12.2022
Bichl,SRID=31468;POINT (4456014.425002068 5287078.536549338),173115,Gemeinde,17.0,26.5,5381.0,2298.0,13.9,31.12.2022
Dietramszell,SRID=31468;POINT (4469296.849662017 5301924.44133992),173118,Gemeinde,17.0,71.3,14537.0,5757.0,96.8,31.12.2022
Egling,SRID=31468;POINT (4463364.065135857 5309534.3814688735),173120,Gemeinde,17.0,56.1,14334.0,5402.0,74.1,31.12.2022
Eurasburg,SRID=31468;POINT (4455466.862324803 5302139.486963617),173123,Gemeinde,17.0,83.4,15521.0,4283.0,40.9,31.12.2022
Gaißach,SRID=31468;POINT (4468618.5512551 5289990.343941978),173124,Gemeinde,17.0,19.6,12062.0,3170.0,38.6,31.12.2022
Geretsried,SRID=31468;POINT (4461364.085749763 5302131.553702409),173126,Gemeinde,17.0,10.2,96459.0,25623.0,24.6,31.12.2022
Greiling,SRID=31468;POINT (4470791.4953894485 5291704.315500372),173127,Gemeinde,17.0,28.9,3006.0,1473.0,7.7,31.12.2022
Icking,SRID=31468;POINT (4458075.984998794 5313340.813411418),173130,Gemeinde,17.0,71.7,8416.0,3736.0,17.0,31.12.2022
Jachenau,SRID=31468;POINT (4457534.570781317 5274310.888126564),173131,Gemeinde,17.0,2899.0,1851.0,804.0,129.0,31.12.2022
Kochel a.See,SRID=31468;POINT (4452654.328719091 5280246.2562958645),173133,Gemeinde,17.0,3609.0,12158.0,4165.0,80.1,31.12.2022
Königsdorf,SRID=31468;POINT (4461235.060972851 5297700.248668754),173134,Gemeinde,17.0,42.2,8650.0,3154.0,45.7,31.12.2022
Lenggries,SRID=31468;POINT (4468327.237883454 5282783.552642202),173135,Gemeinde,17.0,126.0,26897.0,10146.0,243.0,31.12.2022
Münsing,SRID=31468;POINT (4452826.334649005 5307383.160743773),173137,Gemeinde,17.0,61.6,12166.0,4375.0,52.2,31.12.2022
Reichersbeuern,SRID=31468;POINT (4472737.399919023 5292183.205454601),173140,Gemeinde,17.0,145.0,5720.0,2532.0,15.4,31.12.2022
Sachsenkam,SRID=31468;POINT (4473410.194044801 5296576.106169439),173141,Gemeinde,17.0,48.5,4391.0,1316.0,15.9,31.12.2022
Schlehdorf,SRID=31468;POINT (4448667.532829072 5280179.456554104),173142,Gemeinde,17.0,69.9,3276.0,1348.0,25.4,31.12.2022
Wackersberg,SRID=31468;POINT (4466083.995330357 5288783.705464499),173145,Gemeinde,17.0,38.1,8544.0,3680.0,64.8,31.12.2022
Wolfratshausen,SRID=31468;POINT (4456808.58912059 5308441.283093758),173147,Gemeinde,17.0,12.9,77353.0,19335.0,9.1,31.12.2022
Pupplinger Au,SRID=31468;POINT (4459051.978978773 5308174.914981142),173451,Gemeinde,17.0,0.0,unbekannt,unbekannt,3.7,31.12.2022
Wolfratshauser Forst,SRID=31468;POINT (4462355.886603327 5303240.875218298),173452,Gemeinde,17.0,0.0,unbekannt,unbekannt,4.3,31.12.2022
Dachau,SRID=31468;POINT (4452441.609842676 5355378.228507451),174000,Landkreis,unbekannt,67.1,494723.0,156982.0,579.0,31.12.2022
Altomünster,SRID=31468;POINT (4445006.100239022 5361354.209085986),174111,Gemeinde,14.0,164.0,21300.0,8064.0,75.7,31.12.2022
Bergkirchen,SRID=31468;POINT (4453035.946304312 5346982.074383808),174113,Gemeinde,14.0,62.9,42563.0,7810.0,60.0,31.12.2022
Dachau,SRID=31468;POINT (4458344.254189993 5347418.0482966015),174115,Gemeinde,14.0,18.3,157399.0,48195.0,35.0,31.12.2022
Erdweg,SRID=31468;POINT (4448440.487190485 5355179.542439589),174118,Gemeinde,14.0,78.7,14831.0,6344.0,36.1,31.12.2022
Haimhausen,SRID=31468;POINT (4466956.417970831 5353240.904575157),174121,Gemeinde,14.0,87.4,14329.0,5845.0,26.9,31.12.2022
Hebertshausen,SRID=31468;POINT (4460345.525065097 5350558.319146867),174122,Gemeinde,14.0,114.0,13730.0,5854.0,29.6,31.12.2022
Karlsfeld,SRID=31468;POINT (4460961.794007883 5342821.2054387545),174126,Gemeinde,14.0,16.9,73915.0,22069.0,15.6,31.12.2022
Markt Indersdorf,SRID=31468;POINT (4453680.2509921165 5358334.204845958),174131,Gemeinde,14.0,117.0,30813.0,10498.0,68.4,31.12.2022
Odelzhausen,SRID=31468;POINT (4440674.031303212 5352629.981561689),174135,Gemeinde,14.0,166.0,20711.0,5604.0,30.4,31.12.2022
Petershausen,SRID=31468;POINT (4460769.364441576 5363608.917131402),174136,Gemeinde,14.0,26.5,17888.0,6654.0,32.8,31.12.2022
Pfaffenhofen a.d.Glonn,SRID=31468;POINT (4437960.675054118 5351122.679891751),174137,Gemeinde,14.0,160.0,6180.0,2289.0,20.9,31.12.2022
Röhrmoos,SRID=31468;POINT (4459924.654603579 5354483.843458344),174141,Gemeinde,14.0,61.5,23234.0,6618.0,31.8,31.12.2022
Schwabhausen,SRID=31468;POINT (4452307.024765994 5351887.6092197765),174143,Gemeinde,14.0,112.0,14508.0,6516.0,30.2,31.12.2022
Sulzemoos,SRID=31468;POINT (4445436.111957326 5350477.967235738),174146,Gemeinde,14.0,187.0,11502.0,3038.0,19.0,31.12.2022
Hilgertshausen-Tandern,SRID=31468;POINT (4452362.278944237 5365950.064368702),174147,Gemeinde,14.0,107.0,9163.0,3408.0,28.7,31.12.2022
Vierkirchen,SRID=31468;POINT (4460072.133500292 5358660.344765455),174150,Gemeinde,14.0,178.0,14601.0,4614.0,19.4,31.12.2022
Weichs,SRID=31468;POINT (4456701.53503111 5360476.703857907),174151,Gemeinde,14.0,198.0,8057.0,3562.0,18.8,31.12.2022
Ebersberg,SRID=31468;POINT (4493650.4581259405 5326449.200977109),175000,Landkreis,unbekannt,34.4,491674.0,146830.0,550.0,31.12.2022
Anzing,SRID=31468;POINT (4489201.68756962 5334834.667564294),175111,Gemeinde,14.0,39.8,14598.0,4482.0,16.2,31.12.2022
Aßling,SRID=31468;POINT (4500501.483862326 5317105.099503204),175112,Gemeinde,14.0,106.0,11846.0,4608.0,31.4,31.12.2022
Baiern,SRID=31468;POINT (4493472.783893084 5314078.853868728),175113,Gemeinde,14.0,270.0,4341.0,1531.0,20.0,31.12.2022
