Name,Geometrie (EWKT),Verwaltungseinheit,Verwaltungsebene,Planungsregion,Anteil Wasserkraft an Stromproduktion EE (%),Anteil Wind an Stromproduktion EE (%),Anteil PV an Stromproduktion EE (%),Anteil Biomasse an Stromproduktion EE (%),Anteil Geothermie an Stromproduktion EE (%),Stromproduktion Wasserkraft 2022 (MWh/a),Stromproduktion Wind 2022 (MWh/a),Stromproduktion PV 2022 (MWh/a),Stromproduktion Biomasse 2022 (MWh/a),Stromproduktion Geothermie 2022 (MWh/a),Stromproduktion EE 2022 (MWh/a),Einwohnerzahl,Fläche (km²)
Oberbayern,SRID=31468;POINT (4481899.892788588 5329110.735891902),100000,Regierungsbezirk,unbekannt,44.8,3.5,30.5,19.7,1.6,4957694.0,387394.0,3374166.0,2181533.0,173796.0,1.1074584E7,4729243.0,17534
Ingolstadt,SRID=31468;POINT (4457728.797577065 5403236.783199396),161000,Gemeinde,10.0,44.6,0.0,27.1,28.3,0.0,90154.0,0.0,54769.0,57223.0,0.0,202146.0,138016.0,133
Ingolstadt,SRID=31468;POINT (4455613.551440659 5402131.1571629625),161000,Landkreis,unbekannt,44.6,0.0,27.1,28.3,0.0,90154.0,0.0,54769.0,57223.0,0.0,202146.0,138016.0,133
München,SRID=31468;POINT (4468515.3765645055 5333310.341167441),162000,Gemeinde,14.0,45.1,4.6,40.8,9.5,0.0,64920.0,6586.0,58726.0,13709.0,0.0,143940.0,1487708.0,311
München (Stadt),SRID=31468;POINT (4466431.185606031 5335113.936999712),162000,Landkreis,unbekannt,45.1,4.6,40.8,9.5,0.0,64920.0,6586.0,58726.0,13709.0,0.0,143940.0,1487708.0,311
Rosenheim,SRID=31468;POINT (4509448.34360067 5301963.408921471),163000,Gemeinde,18.0,11.6,0.0,15.1,73.3,0.0,11109.0,0.0,14526.0,70388.0,0.0,96023.0,63508.0,37.2
Rosenheim (Stadt),SRID=31468;POINT (4508231.425102538 5300616.003959331),163000,Landkreis,unbekannt,11.6,0.0,15.1,73.3,0.0,11109.0,0.0,14526.0,70388.0,0.0,96023.0,63508.0,37.2
Altötting,SRID=31468;POINT (4552524.8057990335 5341552.246215285),171000,Landkreis,unbekannt,71.8,0.0,17.6,8.6,2.0,1028475.0,0.0,251941.0,123333.0,28607.0,1432357.0,112116.0,570
Altötting,SRID=31468;POINT (4550547.681981055 5343559.067651091),171111,Gemeinde,18.0,0.74,0.0,62.5,36.7,0.0,166.0,0.0,14086.0,8276.0,0.0,22528.0,12983.0,23.1
Burghausen,SRID=31468;POINT (4561938.892540987 5337092.392867715),171112,Gemeinde,18.0,92.7,0.0,5.7,1.7,0.0,230482.0,0.0,14106.0,4171.0,0.0,248759.0,18862.0,19.8
Burgkirchen a.d.Alz,SRID=31468;POINT (4554509.306137016 5336764.460940681),171113,Gemeinde,18.0,2.5,0.0,75.4,22.1,0.0,832.0,0.0,24860.0,7275.0,0.0,32966.0,10710.0,46.2
Emmerting,SRID=31468;POINT (4557067.167597896 5340507.488813938),171114,Gemeinde,18.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10530.0,0.0,0.0,10530.0,4079.0,14.1
Erlbach,SRID=31468;POINT (4558444.541679505 5352425.529219406),171115,Gemeinde,18.0,0.0,0.0,56.0,44.0,0.0,0.0,0.0,6249.0,4916.0,0.0,11165.0,1214.0,28.2
Feichten a.d.Alz,SRID=31468;POINT (4544497.216938413 5327250.475484116),171116,Gemeinde,18.0,15.0,0.0,36.9,48.1,0.0,2245.0,0.0,5539.0,7228.0,0.0,15012.0,1251.0,17.9
Garching a.d.Alz,SRID=31468;POINT (4543511.82737575 5332734.627511177),171117,Gemeinde,18.0,6.4,0.0,26.9,10.1,56.6,3082.0,0.0,13013.0,4869.0,27334.0,48299.0,8702.0,25.9
Haiming,SRID=31468;POINT (4566070.330389464 5342046.996582789),171118,Gemeinde,18.0,95.0,0.0,5.0,0.0,0.0,105389.0,0.0,5564.0,0.0,0.0,110953.0,2522.0,28.8
Halsbach,SRID=31468;POINT (4550409.878351123 5332145.2488913415),171119,Gemeinde,18.0,0.0,0.0,30.7,69.3,0.0,0.0,0.0,4672.0,10536.0,0.0,15208.0,1051.0,22.1
Kastl,SRID=31468;POINT (4551858.489390615 5339782.798998983),171121,Gemeinde,18.0,4.1,0.0,41.7,54.3,0.0,1274.0,0.0,13019.0,16963.0,0.0,31256.0,2830.0,27.6
Kirchweidach,SRID=31468;POINT (4548049.245975417 5327737.0921742),171122,Gemeinde,18.0,0.0,0.0,64.1,28.8,7.1,0.0,0.0,11572.0,5201.0,1273.0,18046.0,2676.0,20.2
Marktl,SRID=31468;POINT (4562756.513011837 5346494.471709839),171123,Gemeinde,18.0,0.0,0.0,50.2,49.8,0.0,0.0,0.0,5875.0,5816.0,0.0,11691.0,2802.0,27.9
Mehring,SRID=31468;POINT (4558375.885282111 5338162.797596938),171124,Gemeinde,18.0,0.0,0.0,48.4,51.6,0.0,0.0,0.0,5641.0,6012.0,0.0,11653.0,2411.0,23.4
Neuötting,SRID=31468;POINT (4551411.720081844 5344909.670168331),171125,Gemeinde,18.0,5.3,0.0,94.7,0.0,0.0,832.0,0.0,14798.0,0.0,0.0,15630.0,8817.0,36.6
Perach,SRID=31468;POINT (4557092.17664562 5347798.306222114),171126,Gemeinde,18.0,93.5,0.0,6.5,0.0,0.0,88706.0,0.0,6117.0,0.0,0.0,94823.0,1309.0,14.2
Pleiskirchen,SRID=31468;POINT (4544323.56591528 5352298.125819571),171127,Gemeinde,18.0,0.0,0.0,52.6,47.4,0.0,0.0,0.0,18131.0,16367.0,0.0,34498.0,2462.0,52.7
Reischach,SRID=31468;POINT (4553938.110694538 5350578.405393098),171129,Gemeinde,18.0,1.1,0.0,77.9,21.0,0.0,100.0,0.0,6887.0,1857.0,0.0,8844.0,2650.0,28.5
Stammham,SRID=31468;POINT (4565635.871286643 5345976.760579252),171130,Gemeinde,18.0,7.1,0.0,92.9,0.0,0.0,155.0,0.0,2032.0,0.0,0.0,2187.0,1026.0,5.7
Teising,SRID=31468;POINT (4545423.104211304 5343404.322108793),171131,Gemeinde,18.0,7.8,0.0,53.1,39.1,0.0,335.0,0.0,2276.0,1677.0,0.0,4288.0,1836.0,5.4
Töging a.Inn,SRID=31468;POINT (4543677.255160258 5346466.540010591),171132,Gemeinde,18.0,94.8,0.0,4.7,0.46,0.0,388664.0,0.0,19433.0,1893.0,0.0,409990.0,9407.0,13.7
Tüßling,SRID=31468;POINT (4544487.716175969 5341815.3810137445),171133,Gemeinde,18.0,1.8,0.0,54.4,43.8,0.0,208.0,0.0,6249.0,5026.0,0.0,11483.0,3375.0,19.6
Tyrlaching,SRID=31468;POINT (4549928.745065621 5324992.02400121),171134,Gemeinde,18.0,0.0,0.0,47.3,52.7,0.0,0.0,0.0,4713.0,5252.0,0.0,9965.0,1069.0,20.6
Unterneukirchen,SRID=31468;POINT (4546124.79190923 5336555.807893032),171135,Gemeinde,18.0,82.3,0.0,13.0,4.7,0.0,84160.0,0.0,13279.0,4837.0,0.0,102276.0,3325.0,23.3
Winhöring,SRID=31468;POINT (4548448.84083918 5347722.32955039),171137,Gemeinde,18.0,81.1,0.0,15.5,3.4,0.0,121844.0,0.0,23302.0,5161.0,0.0,150306.0,4747.0,24.6
Berchtesgadener Land,SRID=31468;POINT (4567809.53015801 5284838.308609875),172000,Landkreis,unbekannt,55.0,0.0,33.3,11.7,0.0,102052.0,0.0,61788.0,21677.0,0.0,185517.0,106389.0,841
Ainring,SRID=31468;POINT (4570731.731786137 5298000.771729787),172111,Gemeinde,18.0,58.3,0.0,24.4,17.3,0.0,13379.0,0.0,5599.0,3957.0,0.0,22935.0,9885.0,33
Anger,SRID=31468;POINT (4564485.377103004 5296370.138328669),172112,Gemeinde,18.0,19.3,0.0,80.4,0.27,0.0,832.0,0.0,3458.0,11.6,0.0,4302.0,4534.0,46
Bad Reichenhall,SRID=31468;POINT (4565877.144153019 5287879.72023992),172114,Gemeinde,18.0,92.4,0.0,7.6,0.0,0.0,29975.0,0.0,2464.0,0.0,0.0,32439.0,18456.0,42
Bayerisch Gmain,SRID=31468;POINT (4567077.492089979 5287342.073901017),172115,Gemeinde,18.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,531.0,0.0,0.0,531.0,3083.0,12.3
Berchtesgaden,SRID=31468;POINT (4575448.9985227045 5277650.2756158),172116,Gemeinde,18.0,74.3,0.0,25.6,0.13,0.0,6897.0,0.0,2378.0,11.7,0.0,9287.0,7624.0,35.7
Bischofswiesen,SRID=31468;POINT (4573009.485847743 5279244.971489178),172117,Gemeinde,18.0,39.7,0.0,60.1,0.17,0.0,1874.0,0.0,2841.0,8.1,0.0,4723.0,7219.0,62.2
Freilassing,SRID=31468;POINT (4573323.497294351 5300893.462947213),172118,Gemeinde,18.0,71.3,0.0,24.6,4.2,0.0,24060.0,0.0,8292.0,1411.0,0.0,33763.0,17472.0,14.8
Laufen,SRID=31468;POINT (4569794.478547287 5311396.251946073),172122,Gemeinde,18.0,0.0,0.0,63.2,36.8,0.0,0.0,0.0,9500.0,5528.0,0.0,15028.0,7373.0,35.3
Marktschellenberg,SRID=31468;POINT (4578594.5817137025 5284804.067802665),172124,Gemeinde,18.0,85.5,0.0,14.5,0.0,0.0,3548.0,0.0,602.0,0.0,0.0,4151.0,1784.0,17.7
Piding,SRID=31468;POINT (4568474.277348521 5292769.682208082),172128,Gemeinde,18.0,4.8,0.0,95.2,0.0,0.0,125.0,0.0,2469.0,0.0,0.0,2593.0,5430.0,17.7
Ramsau b.Berchtesgaden,SRID=31468;POINT (4567708.752093231 5274829.673645454),172129,Gemeinde,18.0,64.3,0.0,35.7,0.0,0.0,1684.0,0.0,936.0,0.0,0.0,2620.0,1706.0,129
Saaldorf-Surheim,SRID=31468;POINT (4569661.777452963 5304001.24496903),172130,Gemeinde,18.0,7.2,0.0,92.8,0.0,0.0,409.0,0.0,5232.0,0.0,0.0,5641.0,5571.0,39.2
Schneizlreuth,SRID=31468;POINT (4560335.08375233 5283854.921743692),172131,Gemeinde,18.0,97.1,0.0,2.9,0.0,0.0,15110.0,0.0,455.0,0.0,0.0,15564.0,1360.0,107
Schönau a.Königssee,SRID=31468;POINT (4574130.05484182 5274246.9809252815),172132,Gemeinde,18.0,30.4,0.0,20.7,48.9,0.0,3457.0,0.0,2356.0,5558.0,0.0,11371.0,5600.0,132
Teisendorf,SRID=31468;POINT (4561511.676092748 5301617.640595407),172134,Gemeinde,18.0,2.2,0.0,72.2,25.5,0.0,449.0,0.0,14677.0,5190.0,0.0,20317.0,9292.0,86.9
Eck,SRID=31468;POINT (4580110.319962347 5276768.6110709235),172452,Gemeinde,18.0,100.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,210.0,unbekannt,12.6
Schellenberger Forst,SRID=31468;POINT (4575791.510918706 5284474.737341231),172454,Gemeinde,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unbekannt,17
Bad Tölz-Wolfratshausen,SRID=31468;POINT (4461338.47956332 5287775.830683699),173000,Landkreis,unbekannt,84.4,0.0,11.1,4.6,0.0,536198.0,0.0,70300.0,29131.0,0.0,635629.0,127919.0,1111
Bad Heilbrunn,SRID=31468;POINT (4459653.997086764 5289809.621358008),173111,Gemeinde,17.0,0.0,0.0,94.8,5.2,0.0,0.0,0.0,2046.0,112.0,0.0,2158.0,3951.0,40.3
Bad Tölz,SRID=31468;POINT (4467135.485276966 5291589.962554393),173112,Gemeinde,17.0,52.2,0.0,36.7,11.1,0.0,8511.0,0.0,5990.0,1815.0,0.0,16316.0,19061.0,30.8
Benediktbeuern,SRID=31468;POINT (4455973.085894245 5285676.050812128),173113,Gemeinde,17.0,2.4,0.0,97.6,0.0,0.0,46.9,0.0,1891.0,0.0,0.0,1938.0,3686.0,37.9
Bichl,SRID=31468;POINT (4456014.425002068 5287078.536549338),173115,Gemeinde,17.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1425.0,0.0,0.0,1425.0,2257.0,13.9
Dietramszell,SRID=31468;POINT (4469296.849662017 5301924.44133992),173118,Gemeinde,17.0,2.0,0.0,64.5,33.5,0.0,210.0,0.0,6688.0,3470.0,0.0,10367.0,5657.0,96.8
Egling,SRID=31468;POINT (4463364.065135857 5309534.3814688735),173120,Gemeinde,17.0,1.1,0.0,69.4,29.6,0.0,86.4,0.0,5576.0,2377.0,0.0,8040.0,5410.0,74.1
Eurasburg,SRID=31468;POINT (4455466.862324803 5302139.486963617),173123,Gemeinde,17.0,22.1,0.0,29.1,48.9,0.0,2856.0,0.0,3762.0,6330.0,0.0,12947.0,4252.0,40.9
Gaißach,SRID=31468;POINT (4468618.5512551 5289990.343941978),173124,Gemeinde,17.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2364.0,0.0,0.0,2364.0,3120.0,38.6
Geretsried,SRID=31468;POINT (4461364.085749763 5302131.553702409),173126,Gemeinde,17.0,0.0,0.0,87.6,12.4,0.0,0.0,0.0,8582.0,1210.0,0.0,9792.0,25221.0,24.6
Greiling,SRID=31468;POINT (4470791.4953894485 5291704.315500372),173127,Gemeinde,17.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,869.0,0.0,0.0,869.0,1491.0,7.7
Icking,SRID=31468;POINT (4458075.984998794 5313340.813411418),173130,Gemeinde,17.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,4646.0,1390.0,0.0,6037.0,3670.0,17
Jachenau,SRID=31468;POINT (4457534.570781317 5274310.888126564),173131,Gemeinde,17.0,97.9,0.0,2.1,0.0,0.0,52570.0,0.0,1110.0,0.0,0.0,53680.0,822.0,129
Kochel a.See,SRID=31468;POINT (4452654.328719091 5280246.2562958645),173133,Gemeinde,17.0,99.4,0.0,0.55,0.0,0.0,436317.0,0.0,2422.0,0.0,0.0,438739.0,4131.0,80.1
Königsdorf,SRID=31468;POINT (4461235.060972851 5297700.248668754),173134,Gemeinde,17.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3649.0,0.0,0.0,3649.0,3138.0,45.7
Lenggries,SRID=31468;POINT (4468327.237883454 5282783.552642202),173135,Gemeinde,17.0,87.1,0.0,12.9,0.0,0.0,29416.0,0.0,4346.0,0.0,0.0,33762.0,10058.0,243
Münsing,SRID=31468;POINT (4452826.334649005 5307383.160743773),173137,Gemeinde,17.0,0.0,0.0,55.8,44.2,0.0,0.0,0.0,4181.0,3315.0,0.0,7496.0,4346.0,52.2
Reichersbeuern,SRID=31468;POINT (4472737.399919023 5292183.205454601),173140,Gemeinde,17.0,0.0,0.0,14.2,85.8,0.0,0.0,0.0,1173.0,7113.0,0.0,8285.0,2467.0,15.4
Sachsenkam,SRID=31468;POINT (4473410.194044801 5296576.106169439),173141,Gemeinde,17.0,0.0,0.0,61.2,38.8,0.0,0.0,0.0,1304.0,826.0,0.0,2130.0,1278.0,15.9
Schlehdorf,SRID=31468;POINT (4448667.532829072 5280179.456554104),173142,Gemeinde,17.0,0.0,0.0,59.2,40.8,0.0,0.0,0.0,1355.0,934.0,0.0,2289.0,1316.0,25.4
Wackersberg,SRID=31468;POINT (4466083.995330357 5288783.705464499),173145,Gemeinde,17.0,0.3,0.0,99.6,0.11,0.0,9.8,0.0,3245.0,3.5,0.0,3258.0,3603.0,64.8
Wolfratshausen,SRID=31468;POINT (4456808.58912059 5308441.283093758),173147,Gemeinde,17.0,60.9,0.0,36.8,2.4,0.0,6080.0,0.0,3676.0,235.0,0.0,9991.0,18984.0,9.1
Pupplinger Au,SRID=31468;POINT (4459051.978978773 5308174.914981142),173451,Gemeinde,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unbekannt,3.7
Wolfratshauser Forst,SRID=31468;POINT (4462355.886603327 5303240.875218298),173452,Gemeinde,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unbekannt,4.3
Dachau,SRID=31468;POINT (4452441.609842676 5355378.228507451),174000,Landkreis,unbekannt,6.2,11.2,49.1,33.5,0.0,20440.0,37167.0,163045.0,111239.0,0.0,331891.0,155449.0,579
Altomünster,SRID=31468;POINT (4445006.100239022 5361354.209085986),174111,Gemeinde,14.0,0.0,0.0,78.9,21.1,0.0,0.0,0.0,27588.0,7375.0,0.0,34963.0,7979.0,75.7
Bergkirchen,SRID=31468;POINT (4453035.946304312 5346982.074383808),174113,Gemeinde,14.0,11.9,0.0,44.9,43.2,0.0,3179.0,0.0,12024.0,11579.0,0.0,26782.0,7755.0,60
Dachau,SRID=31468;POINT (4458344.254189993 5347418.0482966015),174115,Gemeinde,14.0,26.9,27.8,45.3,0.0,0.0,7745.0,7992.0,13019.0,0.0,0.0,28756.0,47738.0,35
Erdweg,SRID=31468;POINT (4448440.487190485 5355179.542439589),174118,Gemeinde,14.0,1.7,44.5,53.7,0.0,0.0,200.0,5199.0,6272.0,0.0,0.0,11672.0,6199.0,36.1
Haimhausen,SRID=31468;POINT (4466956.417970831 5353240.904575157),174121,Gemeinde,14.0,29.7,0.0,66.8,3.5,0.0,3717.0,0.0,8362.0,443.0,0.0,12522.0,5724.0,26.9
Hebertshausen,SRID=31468;POINT (4460345.525065097 5350558.319146867),174122,Gemeinde,14.0,28.9,0.0,37.9,33.1,0.0,4523.0,0.0,5937.0,5185.0,0.0,15645.0,5798.0,29.6
Karlsfeld,SRID=31468;POINT (4460961.794007883 5342821.2054387545),174126,Gemeinde,14.0,0.0,0.0,36.3,63.7,0.0,0.0,0.0,4540.0,7975.0,0.0,12516.0,21853.0,15.6
Markt Indersdorf,SRID=31468;POINT (4453680.2509921165 5358334.204845958),174131,Gemeinde,14.0,0.81,0.0,47.7,51.5,0.0,292.0,0.0,17275.0,18626.0,0.0,36192.0,10523.0,68.4
Odelzhausen,SRID=31468;POINT (4440674.031303212 5352629.981561689),174135,Gemeinde,14.0,0.36,69.7,29.9,0.0,0.0,123.0,23976.0,10282.0,0.0,0.0,34380.0,5367.0,30.4
Petershausen,SRID=31468;POINT (4460769.364441576 5363608.917131402),174136,Gemeinde,14.0,7.5,0.0,78.8,13.8,0.0,354.0,0.0,3729.0,652.0,0.0,4734.0,6620.0,32.8
Pfaffenhofen a.d.Glonn,SRID=31468;POINT (4437960.675054118 5351122.679891751),174137,Gemeinde,14.0,0.0,0.0,99.4,0.59,0.0,0.0,0.0,9831.0,58.4,0.0,9889.0,2284.0,20.9
Röhrmoos,SRID=31468;POINT (4459924.654603579 5354483.843458344),174141,Gemeinde,14.0,0.0,0.0,41.8,58.2,0.0,0.0,0.0,5964.0,8319.0,0.0,14283.0,6523.0,31.8
Schwabhausen,SRID=31468;POINT (4452307.024765994 5351887.6092197765),174143,Gemeinde,14.0,0.0,0.0,51.1,48.9,0.0,0.0,0.0,8317.0,7963.0,0.0,16280.0,6480.0,30.2
Sulzemoos,SRID=31468;POINT (4445436.111957326 5350477.967235738),174146,Gemeinde,14.0,0.0,0.0,48.5,51.5,0.0,0.0,0.0,10419.0,11075.0,0.0,21494.0,3084.0,19
Hilgertshausen-Tandern,SRID=31468;POINT (4452362.278944237 5365950.064368702),174147,Gemeinde,14.0,0.0,0.0,85.3,14.7,0.0,0.0,0.0,8331.0,1439.0,0.0,9771.0,3436.0,28.7
Vierkirchen,SRID=31468;POINT (4460072.133500292 5358660.344765455),174150,Gemeinde,14.0,0.0,0.0,24.8,75.2,0.0,0.0,0.0,6432.0,19555.0,0.0,25987.0,4561.0,19.4
Weichs,SRID=31468;POINT (4456701.53503111 5360476.703857907),174151,Gemeinde,14.0,1.5,0.0,29.6,68.9,0.0,234.0,0.0,4723.0,10994.0,0.0,15951.0,3525.0,18.8
Ebersberg,SRID=31468;POINT (4493650.4581259405 5326449.200977109),175000,Landkreis,unbekannt,1.1,1.8,58.9,38.2,0.0,1896.0,3119.0,99680.0,64654.0,0.0,169349.0,144562.0,550
Anzing,SRID=31468;POINT (4489201.68756962 5334834.667564294),175111,Gemeinde,14.0,0.0,0.0,94.9,5.1,0.0,0.0,0.0,5510.0,295.0,0.0,5805.0,4430.0,16.2
Aßling,SRID=31468;POINT (4500501.483862326 5317105.099503204),175112,Gemeinde,14.0,0.77,0.0,53.2,46.0,0.0,96.5,0.0,6706.0,5794.0,0.0,12597.0,4583.0,31.4
Baiern,SRID=31468;POINT (4493472.783893084 5314078.853868728),175113,Gemeinde,14.0,3.4,0.0,22.3,74.3,0.0,405.0,0.0,2616.0,8714.0,0.0,11735.0,1509.0,20
Bruck,SRID=31468;POINT (4493225.865954345 5320329.139685647),175114,Gemeinde,14.0,0.0,21.4,14.7,63.9,0.0,0.0,3119.0,2146.0,9311.0,0.0,14575.0,1313.0,21.6
Ebersberg,SRID=31468;POINT (4497782.889466009 5326707.320507773),175115,Gemeinde,14.0,0.0,0.0,66.5,33.5,0.0,0.0,0.0,9825.0,4951.0,0.0,14776.0,12210.0,40.9
Egmating,SRID=31468;POINT (4484976.401403465 5318519.135155312),175116,Gemeinde,14.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1783.0,0.0,0.0,1783.0,2351.0,19.2
Forstinning,SRID=31468;POINT (4493608.356404727 5336731.884986629),175118,Gemeinde,14.0,1.4,0.0,98.6,0.0,0.0,133.0,0.0,9216.0,0.0,0.0,9349.0,3902.0,12.3
Frauenneuharting,SRID=31468;POINT (4503704.720883729 5322410.252802845),175119,Gemeinde,14.0,0.0,0.0,92.4,7.6,0.0,0.0,0.0,3028.0,248.0,0.0,3276.0,1566.0,22.7
Glonn,SRID=31468;POINT (4490203.4441139 5316561.53079495),175121,Gemeinde,14.0,5.9,0.0,48.8,45.4,0.0,442.0,0.0,3665.0,3411.0,0.0,7518.0,5281.0,30.2
Grafing b.München,SRID=31468;POINT (4497579.648764983 5323033.159125504),175122,Gemeinde,14.0,0.76,0.0,30.7,68.6,0.0,128.0,0.0,5188.0,11604.0,0.0,16921.0,13936.0,29.6
Hohenlinden,SRID=31468;POINT (4499848.0787759 5335479.709272856),175123,Gemeinde,14.0,0.0,0.0,85.5,14.5,0.0,0.0,0.0,3490.0,593.0,0.0,4083.0,3337.0,17.3
Kirchseeon,SRID=31468;POINT (4491745.902065777 5325976.129657581),175124,Gemeinde,14.0,0.0,0.0,86.5,13.5,0.0,0.0,0.0,3184.0,496.0,0.0,3680.0,10655.0,17.9
Markt Schwaben,SRID=31468;POINT (4490097.515381173 5339224.388947197),175127,Gemeinde,14.0,1.8,0.0,98.2,0.0,0.0,91.9,0.0,5078.0,0.0,0.0,5170.0,13761.0,10.9
Moosach,SRID=31468;POINT (4490830.669690363 5321619.165571283),175128,Gemeinde,14.0,7.7,0.0,37.4,54.8,0.0,226.0,0.0,1097.0,1607.0,0.0,2931.0,1501.0,18.2
Oberpframmern,SRID=31468;POINT (4486163.862129026 5320413.114174393),175131,Gemeinde,14.0,0.0,0.0,88.1,11.9,0.0,0.0,0.0,1879.0,253.0,0.0,2132.0,2486.0,18.5
Vaterstetten,SRID=31468;POINT (4483188.383334409 5330410.3601873005),175132,Gemeinde,14.0,0.0,0.0,66.6,33.4,0.0,0.0,0.0,14117.0,7065.0,0.0,21182.0,25023.0,34.1
Pliening,SRID=31468;POINT (4485130.964463916 5340032.741378509),175133,Gemeinde,14.0,0.0,0.0,37.8,62.2,0.0,0.0,0.0,4520.0,7427.0,0.0,11947.0,5885.0,22.8
Poing,SRID=31468;POINT (4486586.214737343 5337043.067430983),175135,Gemeinde,14.0,0.0,0.0,82.8,17.2,0.0,0.0,0.0,6669.0,1384.0,0.0,8053.0,16042.0,12.9
Emmering,SRID=31468;POINT (4504299.971513022 5317759.6169619365),175136,Gemeinde,14.0,6.5,0.0,56.5,37.0,0.0,264.0,0.0,2294.0,1502.0,0.0,4060.0,1493.0,17.2
Steinhöring,SRID=31468;POINT (4502397.756590182 5327613.966722119),175137,Gemeinde,14.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4515.0,0.0,0.0,4515.0,4066.0,36.3
