GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2021;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;8170101;5021392;2849085;49993;188672;52070;59549;1410
091;  Oberbayern;2815639;1693122;986126;15280;93955;26337;26732;424
09161;    Ingolstadt (Krfr.St);97429;56102;29436;596;9239;2921;2047;9
09162;    München, Landeshauptstadt;732045;431465;247477;3602;41112;10658;8271;118
09163;    Rosenheim (Krfr.St);35450;21855;12478;204;657;177;250;6
09171;    Altötting (Lkr);72118;44760;25310;368;1231;276;439;10
09172;    Berchtesgadener Land (Lkr);66163;41814;22529;275;1098;257;438;9
09173;    Bad Tölz-Wolfratshausen (Lkr);81556;48493;30375;447;1661;465;562;18
09174;    Dachau (Lkr);94258;59460;31642;608;1866;472;666;16
09175;    Ebersberg (Lkr);86445;53254;29917;450;2017;684;794;13
09176;    Eichstätt (Lkr);85829;51727;31730;566;1323;267;474;9
09177;    Erding (Lkr);90313;53679;33496;464;2072;418;587;15
09178;    Freising (Lkr);110323;64003;42234;753;2209;572;1108;16
09179;    Fürstenfeldbruck (Lkr);124513;81187;39128;745;2519;702;912;22
09180;    Garmisch-Partenkirchen (Lkr);52791;33230;18063;292;870;227;322;14
09181;    Landsberg am Lech (Lkr);82970;48956;30708;624;1706;444;959;17
09182;    Miesbach (Lkr);66809;40045;24422;266;1585;476;478;13
09183;    Mühldorf a.Inn (Lkr);75643;45878;27500;375;1403;287;478;9
09184;    München (Lkr);240563;139835;86192;1007;10560;3917;2934;35
09185;    Neuburg-Schrobenhausen (Lkr);66293;39670;24721;427;1100;255;369;6
09186;    Pfaffenhofen a.d.Ilm (Lkr);85058;49246;33107;661;1379;314;655;10
09187;    Rosenheim (Lkr);173318;106249;61884;912;2864;802;1384;25
09188;    Starnberg (Lkr);88503;54721;29955;436;2310;824;1071;10
09189;    Traunstein (Lkr);117902;72389;42170;615;1831;504;881;16
09190;    Weilheim-Schongau (Lkr);89347;55104;31652;587;1343;418;653;8
092;  Niederbayern;823205;486825;313295;4512;13774;3420;4639;160
09261;    Landshut (Krfr.St);37995;23052;13517;222;955;257;242;7
09262;    Passau (Krfr.St);28886;17830;9890;115;847;216;195;9
09263;    Straubing (Krfr.St);27804;17459;9440;157;601;207;143;4
09271;    Deggendorf (Lkr);79297;46477;30762;495;1137;301;417;9
09272;    Freyung-Grafenau (Lkr);53384;31372;20881;207;725;165;194;5
09273;    Kelheim (Lkr);81705;46709;32725;633;1140;291;483;15
09274;    Landshut (Lkr);110107;61961;44550;718;2089;564;742;47
09275;    Passau (Lkr);129826;81615;44975;478;1987;463;741;30
09276;    Regen (Lkr);50535;29971;19303;228;756;144;272;5
09277;    Rottal-Inn (Lkr);83737;49911;31684;420;1269;300;435;18
09278;    Straubing-Bogen (Lkr);69587;41156;26778;413;893;171;340;7
09279;    Dingolfing-Landau (Lkr);70342;39312;28790;426;1375;341;435;4
093;  Oberpfalz;731543;447336;263338;4632;11965;3182;4148;124
09361;    Amberg (Krfr.St);25300;16292;8038;114;631;151;222;3
09362;    Regensburg (Krfr.St);85627;52844;28903;548;2587;722;726;19
09363;    Weiden i.d.OPf. (Krfr.St);26189;16763;8634;159;502;164;123;8
09371;    Amberg-Sulzbach (Lkr);70777;43735;25317;378;919;261;414;14
09372;    Cham (Lkr);89687;54226;33456;641;957;228;393;14
09373;    Neumarkt i.d.OPf. (Lkr);90148;53898;33820;485;1372;362;565;8
09374;    Neustadt a.d.Waldnaab (Lkr);65551;40333;23712;378;815;235;302;11
09375;    Regensburg (Lkr);127778;78364;45453;975;2176;542;782;28
