GENESIS-Tabelle: 46251-004r
Bestand an Personenkraftwagen: Kreise, PKW,;;;;;;;;;
Kraftstoffarten, Stichtag;;;;;;;;;
Statistik des Kfz- und Anhängerbestandes;;;;;;;;;
Stichtag: 01.01.2019;;;;;;;;;
;;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten;Personenkraftwagen nach Kraftstoffarten
;;Insgesamt;Benzin;Diesel;Gas;Hybrid;darunter;Elektro;sonstige (bis 2016 einschl. Hybrid/Elektro)
;;;;;;;Plug-in-Hybrid;;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;7973421;4977177;2857280;55463;62002;14484;20063;1436
091;  Oberbayern;2760670;1690272;1014066;16688;29410;7669;9784;450
09161;    Ingolstadt (Krfr.St);97955;59373;34035;715;2848;522;972;12
09162;    München, Landeshauptstadt;725690;437002;270546;3796;11110;3370;3122;114
09163;    Rosenheim (Krfr.St);34480;21508;12440;230;220;54;76;6
09171;    Altötting (Lkr);69628;44179;24365;386;541;81;145;12
09172;    Berchtesgadener Land (Lkr);64182;41200;22186;304;357;87;121;14
09173;    Bad Tölz-Wolfratshausen (Lkr);78997;47548;30128;514;607;158;184;16
09174;    Dachau (Lkr);91127;58574;31036;651;665;131;185;16
09175;    Ebersberg (Lkr);83357;51726;30171;490;697;161;258;15
09176;    Eichstätt (Lkr);82495;50166;31140;571;448;91;158;12
09177;    Erding (Lkr);87593;52880;33008;541;961;109;185;18
09178;    Freising (Lkr);107160;63064;42108;791;795;152;383;19
09179;    Fürstenfeldbruck (Lkr);121748;79966;39762;802;948;201;251;19
09180;    Garmisch-Partenkirchen (Lkr);51469;32848;17817;343;366;73;82;13
09181;    Landsberg am Lech (Lkr);80133;48028;30468;662;677;121;283;15
09182;    Miesbach (Lkr);64916;39329;24618;324;452;123;176;17
09183;    Mühldorf a.Inn (Lkr);72834;45224;26379;439;647;94;139;6
09184;    München (Lkr);245522;146756;92996;1066;3284;1169;1372;48
09185;    Neuburg-Schrobenhausen (Lkr);64035;38989;24071;471;394;83;103;7
09186;    Pfaffenhofen a.d.Ilm (Lkr);82140;48271;32487;688;488;100;196;10
09187;    Rosenheim (Lkr);168325;104643;61168;1062;944;252;483;25
09188;    Starnberg (Lkr);86177;53552;30989;471;772;246;378;15
09189;    Traunstein (Lkr);114157;71432;41040;715;638;146;319;13
09190;    Weilheim-Schongau (Lkr);86550;54014;31108;656;551;145;213;8
092;  Niederbayern;795573;479777;304778;5277;4239;1047;1367;135
09261;    Landshut (Krfr.St);36926;22914;13317;250;377;93;62;6
09262;    Passau (Krfr.St);27959;17552;9951;110;280;44;57;9
09263;    Straubing (Krfr.St);27026;17234;9445;155;155;59;32;5
09271;    Deggendorf (Lkr);76737;45994;29711;627;293;81;102;10
09272;    Freyung-Grafenau (Lkr);51759;30792;20477;256;178;55;50;6
09273;    Kelheim (Lkr);78799;45783;31781;713;353;96;156;13
09274;    Landshut (Lkr);106058;60979;43220;817;816;160;216;10
09275;    Passau (Lkr);125328;80336;43647;586;540;128;180;39
09276;    Regen (Lkr);49084;29531;18935;267;213;51;132;6
09277;    Rottal-Inn (Lkr);81199;49484;30627;503;419;96;147;19
09278;    Straubing-Bogen (Lkr);67340;40608;25823;476;328;57;97;8
09279;    Dingolfing-Landau (Lkr);67358;38570;27844;517;287;127;136;4
093;  Oberpfalz;717689;443195;263715;5419;3938;916;1281;141
09361;    Amberg (Krfr.St);24754;16096;8205;126;253;42;67;7
09362;    Regensburg (Krfr.St);89167;53519;33936;611;797;205;282;22
09363;    Weiden i.d.OPf. (Krfr.St);25983;16684;8961;162;137;32;29;10
09371;    Amberg-Sulzbach (Lkr);69114;43323;24879;437;333;74;128;14
09372;    Cham (Lkr);86814;53573;32090;786;240;59;112;13
09373;    Neumarkt i.d.OPf. (Lkr);87110;52796;33089;560;497;138;160;8
09374;    Neustadt a.d.Waldnaab (Lkr);63970;40271;22925;405;271;71;87;11
09375;    Regensburg (Lkr);124190;76608;45360;1178;756;154;256;32
09376;    Schwandorf (Lkr);98301;58784;37966;915;511;111;110;15
